ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate
poko1263,Pökoot,Africa,1.57023,35.2318,poko1263,pko,language,KE;UG,nilo1247,,pko,,,false
mark1255,Markweeta,Africa,1.15018,35.5866,mark1255,enb,language,KE,nilo1247,,enb,,,false
plat1260,Plateau Central Kalenjin,,0.6502973333333333,35.530820500000004,plat1260,,family,,nilo1247,,kln,,,
kips1239,Kipsigis,Africa,-0.35774,35.258532,kips1239,sgc,language,KE,nilo1247,,sgc,,,false
suie1242,Suiei,Africa,-1.34401,35.6296,suie1242,,dialect,,nilo1247,omot1239,omt,,,
bian1249,Biyanjiida,Africa,-5.9,34.3,bian1249,,language,TZ,nilo1247,,,,,false
nort3277,North-Central Datooga,,-3.912290666666667,34.92030333333333,nort3277,,family,,nilo1247,,,,,
lang1323,Lango-Kumam,,1.9430749999999999,33.133449999999996,lang1323,,family,,nilo1247,,,,,
adho1241,Adhola-Alur-Luo,,1.1309125,32.631725,adho1241,,family,,nilo1247,,,,,
acol1236,Acoli,Africa,3.57738,32.5147,acol1236,ach,language,SS;UG,nilo1247,,ach,,,false
pari1256,Päri,Africa,5.09472,32.4822,pari1256,lkr,language,SS,nilo1247,,lkr,,,false
luwo1240,Luwo-Thuri,,8.03828,27.311799999999998,luwo1240,,family,,nilo1247,,,,,
shil1265,Shilluk,Africa,9.85472,31.7926,shil1265,shk,language,SD;SS,nilo1247,,shk,,,false
anua1242,Anuak,Africa,7.57714,34.0267,anua1242,anu,language,ET;SS,nilo1247,,anu,,,false
bela1256,Belanda Bor,Africa,6.6503,27.8232,bela1256,bxb,language,SS,nilo1247,,bxb,,,false
maba1273,Mabaan,Africa,9.81455,33.5404,maba1273,mfz,language,SD;SS,nilo1247,,mfz,,,false
jumj1238,Jumjum,Africa,10.4349,33.7494,jumj1238,jum,language,SD;SS,nilo1247,,jum,,,false
maia1240,Mayak,Africa,10.725,33.921,maia1240,,dialect,,nilo1247,buru1301,bdi,,,
ragr1238,Ragreig,Africa,10.725,33.921,ragr1238,,dialect,,nilo1247,buru1301,bdi,,,
abul1238,Abuldugu,Africa,10.725,33.921,abul1238,,dialect,,nilo1247,buru1301,bdi,,,
mufw1238,Mufwa,Africa,10.725,33.921,mufw1238,,dialect,,nilo1247,buru1301,bdi,,,
mugh1243,Mughaja,Africa,10.725,33.921,mugh1243,,dialect,,nilo1247,buru1301,bdi,,,
nuer1246,Nuer,Africa,8.13911,32.3829,nuer1246,nus,language,ET;SS,nilo1247,,nus,,,false
reel1238,Reel,Africa,6.32234,30.49451,reel1238,atu,language,SD;SS,nilo1247,,atu,,,false
sout2834,Southeastern Dinka,Africa,7.02206,31.285,sout2834,dks,language,SS,nilo1247,,dks,,,false
nort2815,Northeastern Dinka,Africa,9.27995,31.8392,nort2815,dip,language,SD;SS,nilo1247,,dip,,,false
sout2832,Southwestern Dinka,Africa,8.81115,28.0613,sout2832,dik,language,SD;SS,nilo1247,,dik,,,false
nort2816,Northwestern Dinka,Africa,9.81484,29.2998,nort2816,diw,language,SD;SS,nilo1247,,diw,,,false
sout2833,South Central Dinka,Africa,6.7307,30.3021,sout2833,dib,language,SS,nilo1247,,dib,,,false
bari1284,Bari,Africa,4.19522,31.0723,bari1284,bfa,language,SS;UG,nilo1247,,bfa,,,false
kuku1285,Kuku,Africa,3.9613,31.537,kuku1285,ukv,language,SS;UG,nilo1247,,ukv,,,false
teso1249,Teso,Africa,1.18321,33.9394,teso1249,teo,language,KE;UG,nilo1247,,teo,,,false
turk1307,Turkanic,,4.24790430611635,34.85994513135359,turk1307,,family,,nilo1247,,,,,
onga1238,Ongamo-Maa,,-1.8722174999999999,37.1418,onga1238,,family,,nilo1247,,,,,
lotu1249,Lotuxo,,4.292868333333334,32.853660000000005,lotu1249,,family,,nilo1247,,,,,
neca1234,Necaxan,,20.2377,-97.83875,neca1234,,family,,toto1251,,,,,
xico1235,Xicotepec De Juárez Totonac,North America,20.6532,-97.7463,xico1235,too,language,MX,toto1251,,too,,,false
coah1253,Coahuitlán Totonac,North America,20.258836,-97.729504,coah1253,,language,MX,toto1251,,,,,false
papa1238,Papantla Totonac,North America,20.5671,-97.2554,papa1238,top,language,MX,toto1251,,top,,,false
lowl1244,Sierra Totonacan,,20.462249999999997,-97.65055,lowl1244,,family,,toto1251,,,,,
lebu1234,Lebu Wolof,Africa,14.7456291324,-17.490288,lebu1234,,language,SN,atla1278,,,,,false
gamb1252,Gambian Wolof,Africa,13.5337,-16.1544,gamb1252,wof,language,GM;SN,atla1278,,wof,,,false
nucl1347,Wolof,Africa,15.2534,-15.383,nucl1347,wol,language,GM;GW;ML;MR;SN,atla1278,,wol,,,false
kobi1240,Buy,,12.9721,-15.197,kobi1240,,family,,atla1278,,,,,
bain1264,Bainounk,,12.695266666666667,-16.3612,bain1264,,family,,atla1278,,,,,
saaf1238,Saafi-Saafi,Africa,14.625,-17.0568,saaf1238,sav,language,SN,atla1278,,sav,,,false
noon1244,Noon-Lehar,,14.865350000000001,-16.901049999999998,noon1244,,family,,atla1278,,,,,
ndut1239,Ndut,Africa,14.925,-16.9811,ndut1239,ndv,language,SN,atla1278,,ndv,,,false
palo1243,Palor,Africa,14.8628,-16.9557,palo1243,fap,language,SN,atla1278,,fap,,,false
baga1279,Baga Binari,Africa,10.5271,-14.6111,baga1279,,dialect,,atla1278,baga1275,bcg,,,
baga1276,Baga Mboteni,Africa,12.27246,-12.07358,baga1276,bgm,dialect,GN,atla1278,baga1275,bgm,,,
bedi1237,Bedik-Bapen,,12.44155,-12.634799999999998,bedi1237,,family,,atla1278,,,,,
bass1258,Bassari-Tanda,Africa,12.4529,-13.3495,bass1258,bsc,language,GN;GW;SN,atla1278,,bsc,,,false
bidy1244,Kanyaki-Kagbaaga-Kajoko Bidyogo,Africa,11.1097,-16.1497,bidy1244,bjg,language,GW,atla1278,,bjg,,,false
kamo1256,Kamona Bijogo,Africa,11.525,-16.29,kamo1256,,language,GW,atla1278,,,,,false
bala1300,Balanta,,12.17925,-15.493950000000002,bala1300,,family,,atla1278,,,,,
